Rk,player,team,salary2015,salary2016,salary2017,salary2018,salary2019,salary2020,Signed Using,Guaranteed
483,Wesley Matthews,DAL,16400000,17100000,17900000,18600000,,,Cap Space,70000000
484,Greg Monroe,MIL,16400000,17100000,17900000,,,,Cap Space,33500000
485,Enes Kanter,OKC,16400000,17100000,17900000,18600000,,,Bird Rights,51400000
486,Kawhi Leonard,SAS,16500000,17500000,19000000,20000000,21000000,,Bird Rights,73000000
487,Russell Westbrook,OKC,16744218,17769374,,,,,Bird Rights,34513592
488,Paul George,IND,17120106,18314532,19508958,20703384,,,1st Round Pick,54943596
489,Blake Griffin,LAC,18907725,20140838,21373950,,,,Bird Rights,60422513
490,Paul Millsap,ATL,19000000,20000000,21000000,,,,Bird Rights,39000000
491,Kevin Love,CLE,19500000,21500000,22500000,24000000,25500000,,Bird Rights,113000000
492,DeAndre Jordan,LAC,19500000,21500000,22500000,24000000,,,Bird Rights,63500000
493,LaMarcus Aldridge,SAS,19500000,20500000,21500000,22500000,,,Cap Space,61500000
494,Marc Gasol,MEM,19700000,21200000,22600000,24100000,25600000,,Bird Rights,87600000
495,Brook Lopez,BRK,20000000,21000000,22000000,,,,Bird Rights,63000000
496,Dwyane Wade,MIA,20000000,,,,,,Bird Rights,20000000
497,Derrick Rose,CHI,20093063,21323250,,,,,Bird Rights,41416313
498,Kevin Durant,OKC,20158622,,,,,,Bird Rights,20158622
499,Chris Paul,LAC,21468696,22868828,24268960,,,,Bird Rights,44337524
500,Chris Bosh,MIA,22192730,23741060,25289390,26837720,,,Bird Rights,98060900
501,Dwight Howard,HOU,22359364,23282457,,,,,Cap Space,22359364
502,Carmelo Anthony,NYK,22875000,24559380,26243760,27928140,,,Bird Rights,73678140
503,LeBron James,CLE,22971000,24004000,,,,,Cap Space,22971000
504,Joe Johnson,BRK,24894863,,,,,,Bird Rights,24894863
505,Kobe Bryant,LAL,25000000,,,,,,Bird Rights,25000000
